source_code	source_code_description	length
Q0503	"Battery for pneumatic ventricular assist device, replacement only, each"	71
Q0504	"Power adapter for pneumatic ventricular assist device, replacement only, vehicle type"	85
Q0505	Miscellaneous supply or accessory for use with ventricular assist device	72
Q0506	"Battery, lithium-ion, for use with electric or electric/pneumatic ventricular assist device, replacement only"	109
Q0507	Miscellaneous supply or accessory for use with an external ventricular assist device	84
Q0508	Miscellaneous supply or accessory for use with an implanted ventricular assist device	85
Q0509	Miscellaneous supply or accessory for use with any implanted ventricular assist device for which payment was not made under medicare part a	139
Q0510	"Pharmacy supply fee for initial immunosuppressive drug(s), first month following transplant"	91
Q0511	"Pharmacy supply fee for oral anti-cancer, oral anti-emetic or immunosuppressive drug(s); for the first prescription in a 30-day period"	134
Q0512	"Pharmacy supply fee for oral anti-cancer, oral anti-emetic or immunosuppressive drug(s); for a subsequent prescription in a 30-day period"	137
Q0513	Pharmacy dispensing fee for inhalation drug(s); per 30 days	59
Q0514	Pharmacy dispensing fee for inhalation drug(s); per 90 days	59
Q0515	"Injection, sermorelin acetate, 1 microgram"	42
Q1003	New technology intraocular lens category 3 (reduced spherical aberration)	73
Q1004	New technology intraocular lens category 4 as defined in federal register notice	80
Q1005	New technology intraocular lens category 5 as defined in federal register notice	80
Q2004	"Irrigation solution for treatment of bladder calculi, for example renacidin, per 500 ml"	87
Q2009	"Injection, fosphenytoin, 50 mg phenytoin equivalent"	51
Q2017	"Injection, teniposide, 50 mg"	28
Q2025	"Fludarabine phosphate, oral, 1 mg"	33
Q2026	"Injection, radiesse, 0.1 ml"	27
Q2027	"Injection, sculptra, 0.1 ml"	27
Q2028	"Injection, sculptra, 0.5 mg"	27
Q2033	"Influenza vaccine, recombinant hemagglutinin antigens, for intramuscular use (flublok)"	86
Q2034	"Influenza virus vaccine, split virus, for intramuscular use (agriflu)"	69
Q2035	"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (afluria)"	128
Q2036	"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (flulaval)"	129
Q2037	"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)"	129
Q2038	"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)"	128
Q2039	"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (not otherwise specified)"	144
Q2040	"Injection, incobotulinumtoxin a, 1 unit"	39
Q2041	"Injection, von willebrand factor complex (human), wilate, 1 i.u. vwf:rco"	72
Q2042	"Injection, hydroxyprogesterone caproate, 1 mg"	45
Q2043	"Sipuleucel-t, minimum of 50 million autologous cd54+ cells activated with pap-gm-csf, including leukapheresis and all other preparatory procedures, per infusion"	160
Q2044	"Injection, belimumab, 10 mg"	27
Q2045	"Injection, human fibrinogen concentrate, 1 mg"	45
Q2046	"Injection, aflibercept, 1 mg"	28
Q2047	"Injection, peginesatide, 0.1 mg (for esrd on dialysis)"	54
Q2048	"Injection, doxorubicin hydrochloride, liposomal, doxil, 10 mg"	61
Q2049	"Injection, doxorubicin hydrochloride, liposomal, imported lipodox, 10 mg"	72
Q2050	"Injection, doxorubicin hydrochloride, liposomal, not otherwise specified, 10mg"	78
Q2051	"Injection, zoledronic acid, not otherwise specified, 1mg"	56
Q2052	"Services, supplies and accessories used in the home under the medicare intravenous immune globulin (ivig) demonstration"	119
Q3001	"Radioelements for brachytherapy, any type, each"	47
Q3014	Telehealth originating site facility fee	40
Q3025	"Injection, interferon beta-1a, 11 mcg for intramuscular use"	59
Q3026	"Injection, interferon beta-1a, 11 mcg for subcutaneous use"	58
Q3027	"Injection, interferon beta-1a, 1 mcg for intramuscular use"	58
Q3028	"Injection, interferon beta-1a, 1 mcg for subcutaneous use"	57
Q3031	Collagen skin test	18
Q4001	"Casting supplies, body cast adult, with or without head, plaster"	64
Q4002	"Cast supplies, body cast adult, with or without head, fiberglass"	64
Q4003	"Cast supplies, shoulder cast, adult (11 years +), plaster"	57
Q4004	"Cast supplies, shoulder cast, adult (11 years +), fiberglass"	60
Q4005	"Cast supplies, long arm cast, adult (11 years +), plaster"	57
Q4006	"Cast supplies, long arm cast, adult (11 years +), fiberglass"	60
Q4007	"Cast supplies, long arm cast, pediatric (0-10 years), plaster"	61
Q4008	"Cast supplies, long arm cast, pediatric (0-10 years), fiberglass"	64
Q4009	"Cast supplies, short arm cast, adult (11 years +), plaster"	58
Q4010	"Cast supplies, short arm cast, adult (11 years +), fiberglass"	61
Q4011	"Cast supplies, short arm cast, pediatric (0-10 years), plaster"	62
Q4012	"Cast supplies, short arm cast, pediatric (0-10 years), fiberglass"	65
Q4013	"Cast supplies, gauntlet cast (includes lower forearm and hand), adult (11 years +), plaster"	91
Q4014	"Cast supplies, gauntlet cast (includes lower forearm and hand), adult (11 years +), fiberglass"	94
Q4015	"Cast supplies, gauntlet cast (includes lower forearm and hand), pediatric (0-10 years), plaster"	95
Q4016	"Cast supplies, gauntlet cast (includes lower forearm and hand), pediatric (0-10 years), fiberglass"	98
Q4017	"Cast supplies, long arm splint, adult (11 years +), plaster"	59
Q4018	"Cast supplies, long arm splint, adult (11 years +), fiberglass"	62
Q4019	"Cast supplies, long arm splint, pediatric (0-10 years), plaster"	63
Q4020	"Cast supplies, long arm splint, pediatric (0-10 years), fiberglass"	66
Q4021	"Cast supplies, short arm splint, adult (11 years +), plaster"	60
Q4022	"Cast supplies, short arm splint, adult (11 years +), fiberglass"	63
Q4023	"Cast supplies, short arm splint, pediatric (0-10 years), plaster"	64
Q4024	"Cast supplies, short arm splint, pediatric (0-10 years), fiberglass"	67
Q4025	"Cast supplies, hip spica (one or both legs), adult (11 years +), plaster"	72
Q4026	"Cast supplies, hip spica (one or both legs), adult (11 years +), fiberglass"	75
Q4027	"Cast supplies, hip spica (one or both legs), pediatric (0-10 years), plaster"	76
Q4028	"Cast supplies, hip spica (one or both legs), pediatric (0-10 years), fiberglass"	79
Q4029	"Cast supplies, long leg cast, adult (11 years +), plaster"	57
Q4030	"Cast supplies, long leg cast, adult (11 years +), fiberglass"	60
Q4031	"Cast supplies, long leg cast, pediatric (0-10 years), plaster"	61
Q4032	"Cast supplies, long leg cast, pediatric (0-10 years), fiberglass"	64
Q4033	"Cast supplies, long leg cylinder cast, adult (11 years +), plaster"	66
Q4034	"Cast supplies, long leg cylinder cast, adult (11 years +), fiberglass"	69
Q4035	"Cast supplies, long leg cylinder cast, pediatric (0-10 years), plaster"	70
Q4036	"Cast supplies, long leg cylinder cast, pediatric (0-10 years), fiberglass"	73
Q4037	"Cast supplies, short leg cast, adult (11 years +), plaster"	58
Q4038	"Cast supplies, short leg cast, adult (11 years +), fiberglass"	61
Q4039	"Cast supplies, short leg cast, pediatric (0-10 years), plaster"	62
Q4040	"Cast supplies, short leg cast, pediatric (0-10 years), fiberglass"	65
Q4041	"Cast supplies, long leg splint, adult (11 years +), plaster"	59
Q4042	"Cast supplies, long leg splint, adult (11 years +), fiberglass"	62
Q4043	"Cast supplies, long leg splint, pediatric (0-10 years), plaster"	63
Q4044	"Cast supplies, long leg splint, pediatric (0-10 years), fiberglass"	66
Q4045	"Cast supplies, short leg splint, adult (11 years +), plaster"	60
Q4046	"Cast supplies, short leg splint, adult (11 years +), fiberglass"	63
Q4047	"Cast supplies, short leg splint, pediatric (0-10 years), plaster"	64
Q4048	"Cast supplies, short leg splint, pediatric (0-10 years), fiberglass"	67
Q4049	"Finger splint, static"	21
Q4050	"Cast supplies, for unlisted types and materials of casts"	56
Q4051	"Splint supplies, miscellaneous (includes thermoplastics, strapping, fasteners, padding and other supplies)"	106
Q4074	"Iloprost, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, up to 20 micrograms"	136
Q4081	"Injection, epoetin alfa, 100 units (for esrd on dialysis)"	57
Q4082	"Drug or biological, not otherwise classified, part b drug competitive acquisition program (cap)"	95
Q4100	"Skin substitute, not otherwise specified"	40
Q4101	"Apligraf, per square centimeter"	31
Q4102	"Oasis wound matrix, per square centimeter"	41
Q4103	"Oasis burn matrix, per square centimeter"	40
Q4104	"Integra bilayer matrix wound dressing (bmwd), per square centimeter"	67
Q4105	"Integra dermal regeneration template (drt), per square centimeter"	65
Q4106	"Dermagraft, per square centimeter"	33
Q4107	"Graftjacket, per square centimeter"	34
Q4108	"Integra matrix, per square centimeter"	37
Q4109	"Skin substitute, tissuemend, per square centimeter"	50
Q4110	"Primatrix, per square centimeter"	32
Q4111	"Gammagraft, per square centimeter"	33
Q4112	"Cymetra, injectable, 1cc"	24
Q4113	"Graftjacket xpress, injectable, 1cc"	35
Q4114	"Integra flowable wound matrix, injectable, 1cc"	46
Q4115	"Alloskin, per square centimeter"	31
Q4116	"Alloderm, per square centimeter"	31
Q4117	"Hyalomatrix, per square centimeter"	34
Q4118	"Matristem micromatrix, 1 mg"	27
Q4119	"Matristem wound matrix, psmx, rs, or psm, per square centimeter"	63
Q4120	"Matristem burn matrix, per square centimeter"	44
Q4121	"Theraskin, per square centimeter"	32
Q4122	"Dermacell, per square centimeter"	32
Q4123	"Alloskin rt, per square centimeter"	34
Q4124	"Oasis ultra tri-layer wound matrix, per square centimeter"	57
Q4125	"Arthroflex, per square centimeter"	33
Q4126	"Memoderm, dermaspan, tranzgraft or integuply, per square centimeter"	67
Q4127	"Talymed, per square centimeter"	30
Q4128	"Flex hd, allopatch hd, or matrix hd, per square centimeter"	58
Q4129	"Unite biomatrix, per square centimeter"	38
Q4130	"Strattice tm, per square centimeter"	35
Q4131	"Epifix, per square centimeter"	29
Q4132	"Grafix core, per square centimeter"	34
Q4133	"Grafix prime, per square centimeter"	35
Q4134	"Hmatrix, per square centimeter"	30
Q4135	"Mediskin, per square centimeter"	31
Q4136	"Ez-derm, per square centimeter"	30
Q4137	"Amnioexcel or biodexcel, per square centimeter"	46
Q4138	"Biodfence dryflex, per square centimeter"	40
Q4139	"Amniomatrix or biodmatrix, injectable, 1 cc"	43
Q4140	"Biodfence, per square centimeter"	32
Q4141	"Alloskin ac, per square centimeter"	34
Q4142	"Xcm biologic tissue matrix, per square centimeter"	49
Q4143	"Repriza, per square centimeter"	30
Q4145	"Epifix, injectable, 1 mg"	24
Q4146	"Tensix, per square centimeter"	29
Q4147	"Architect extracellular matrix, per square centimeter"	53
Q4148	"Neox 1k, per square centimeter"	30
Q4149	"Excellagen, 0.1 cc"	18
Q5001	Hospice or home health care provided in patient's home/residence	64
Q5002	Hospice or home health care provided in assisted living facility	64
Q5003	Hospice care provided in nursing long term care facility (ltc) or non-skilled nursing facility (nf)	99
Q5004	Hospice care provided in skilled nursing facility (snf)	55
Q5005	Hospice care provided in inpatient hospital	43
Q5006	Hospice care provided in inpatient hospice facility	51
Q5007	Hospice care provided in long term care facility	48
Q5008	Hospice care provided in inpatient psychiatric facility	55
Q5009	Hospice or home health care provided in place not otherwise specified (nos)	75
Q5010	Hospice home care provided in a hospice facility	48
Q9951	"Low osmolar contrast material, 400 or greater mg/ml iodine concentration, per ml"	80
Q9953	"Injection, iron-based magnetic resonance contrast agent, per ml"	63
Q9954	"Oral magnetic resonance contrast agent, per 100 ml"	50
Q9955	"Injection, perflexane lipid microspheres, per ml"	48
Q9956	"Injection, octafluoropropane microspheres, per ml"	49
Q9957	"Injection, perflutren lipid microspheres, per ml"	48
Q9958	"High osmolar contrast material, up to 149 mg/ml iodine concentration, per ml"	76
Q9959	"High osmolar contrast material, 150-199 mg/ml iodine concentration, per ml"	74
Q9960	"High osmolar contrast material, 200-249 mg/ml iodine concentration, per ml"	74
Q9961	"High osmolar contrast material, 250-299 mg/ml iodine concentration, per ml"	74
Q9962	"High osmolar contrast material, 300-349 mg/ml iodine concentration, per ml"	74
Q9963	"High osmolar contrast material, 350-399 mg/ml iodine concentration, per ml"	74
Q9964	"High osmolar contrast material, 400 or greater mg/ml iodine concentration, per ml"	81
Q9965	"Low osmolar contrast material, 100-199 mg/ml iodine concentration, per ml"	73
Q9966	"Low osmolar contrast material, 200-299 mg/ml iodine concentration, per ml"	73
Q9967	"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml"	73
Q9968	"Injection, non-radioactive, non-contrast, visualization adjunct (e.g., methylene blue, isosulfan blue), 1 mg"	108
Q9969	"Tc-99m from non-highly enriched uranium source, full cost recovery add-on, per study dose"	89
R0070	"Transportation of portable x-ray equipment and personnel to home or nursing home, per trip to facility or location, one patient seen"	132
R0075	"Transportation of portable x-ray equipment and personnel to home or nursing home, per trip to facility or location, more than one patient seen"	142
R0076	"Transportation of portable ekg to facility or location, per patient"	67
S0012	"Butorphanol tartrate, nasal spray, 25 mg"	40
S0014	"Tacrine hydrochloride, 10 mg"	28
S0017	"Injection, aminocaproic acid, 5 grams"	37
S0020	"Injection, bupivicaine hydrochloride, 30 ml"	43
S0021	"Injection, cefoperazone sodium, 1 gram"	38
S0023	"Injection, cimetidine hydrochloride, 300 mg"	43
S0028	"Injection, famotidine, 20 mg"	28
S0030	"Injection, metronidazole, 500 mg"	32
S0032	"Injection, nafcillin sodium, 2 grams"	36
S0034	"Injection, ofloxacin, 400 mg"	28
S0039	"Injection, sulfamethoxazole and trimethoprim, 10 ml"	51
S0040	"Injection, ticarcillin disodium and clavulanate potassium, 3.1 grams"	68
S0073	"Injection, aztreonam, 500 mg"	28
S0074	"Injection, cefotetan disodium, 500 mg"	37
S0077	"Injection, clindamycin phosphate, 300 mg"	40
S0078	"Injection, fosphenytoin sodium, 750 mg"	38
S0080	"Injection, pentamidine isethionate, 300 mg"	42
S0081	"Injection, piperacillin sodium, 500 mg"	38
S0088	"Imatinib, 100 mg"	16
S0090	"Sildenafil citrate, 25 mg"	25
S0091	"Granisetron hydrochloride, 1mg (for circumstances falling under the medicare statute, use q0166)"	96
S0092	"Injection, hydromorphone hydrochloride, 250 mg (loading dose for infusion pump)"	79
S0093	"Injection, morphine sulfate, 500 mg (loading dose for infusion pump)"	68
S0104	"Zidovudine, oral, 100 mg"	24
S0106	"Bupropion hcl sustained release tablet, 150 mg, per bottle of 60 tablets"	72
S0108	"Mercaptopurine, oral, 50 mg"	27
S0109	"Methadone, oral, 5 mg"	21
S0117	"Tretinoin, topical, 5 grams"	27
S0119	"Ondansetron, oral, 4 mg (for circumstances falling under the medicare statute, use hcpcs q code)"	96
S0122	"Injection, menotropins, 75 iu"	29
S0126	"Injection, follitropin alfa, 75 iu"	34
S0128	"Injection, follitropin beta, 75 iu"	34
S0132	"Injection, ganirelix acetate, 250 mcg"	37
S0136	"Clozapine, 25 mg"	16
S0137	"Didanosine (ddi), 25 mg"	23
S0138	"Finasteride, 5 mg"	17
S0139	"Minoxidil, 10 mg"	16
S0140	"Saquinavir, 200 mg"	18
S0142	"Colistimethate sodium, inhalation solution administered through dme, concentrated form, per mg"	94
S0145	"Injection, pegylated interferon alfa-2a, 180 mcg per ml"	55
S0146	"Injection, pegylated interferon alfa-2b, 10 mcg per 0.5 ml"	58
S0148	"Injection, pegylated interferon alfa-2b, 10 mcg"	47
S0155	"Sterile dilutant for epoprostenol, 50ml"	39
S0156	"Exemestane, 25 mg"	17
S0157	"Becaplermin gel 0.01%, 0.5 gm"	29
S0160	"Dextroamphetamine sulfate, 5 mg"	31
S0161	"Calcitrol, 0.25 mg"	18
S0164	"Injection, pantoprazole sodium, 40 mg"	37
S0166	"Injection, olanzapine, 2.5 mg"	29
S0169	"Calcitrol, 0.25 microgram"	25
S0170	"Anastrozole, oral, 1mg"	22
S0171	"Injection, bumetanide, 0.5mg"	28
S0172	"Chlorambucil, oral, 2mg"	23
S0174	"Dolasetron mesylate, oral 50mg (for circumstances falling under the medicare statute, use q0180)"	96
S0175	"Flutamide, oral, 125mg"	22
S0176	"Hydroxyurea, oral, 500mg"	24
S0177	"Levamisole hydrochloride, oral, 50mg"	36
S0178	"Lomustine, oral, 10mg"	21
S0179	"Megestrol acetate, oral, 20mg"	29
S0181	"Ondansetron hydrochloride, oral, 4mg (for circumstances falling under the medicare statute, use q0179)"	102
S0182	"Procarbazine hydrochloride, oral, 50mg"	38
S0183	"Prochlorperazine maleate, oral, 5mg (for circumstances falling under the medicare statute, use q0164 - q0165)"	109
S0187	"Tamoxifen citrate, oral, 10mg"	29
S0189	"Testosterone pellet, 75mg"	25
S0190	"Mifepristone, oral, 200 mg"	26
S0191	"Misoprostol, oral, 200 mcg"	26
S0194	"Dialysis/stress vitamin supplement, oral, 100 capsules"	54
S0195	"Pneumococcal conjugate vaccine, polyvalent, intramuscular, for children from five years to nine years of age who have not previously received the vaccine"	153
S0196	"Injectable poly-l-lactic acid, restorative implant, 1 ml, face (deep dermis, subcutaneous layers)"	97
S0197	"Prenatal vitamins, 30-day supply"	32
S0199	"Medically induced abortion by oral ingestion of medication including all associated services and supplies (e.g., patient counseling, office visits, confirmation of pregnancy by hcg, ultrasound to confirm duration of pregnancy, ultrasound to confirm completion of abortion) except drugs"	285
S0201	"Partial hospitalization services, less than 24 hours, per diem"	62
S0207	"Paramedic intercept, non-hospital-based als service (non-voluntary), non-transport"	82
S0208	"Paramedic intercept, hospital-based als service (non-voluntary), non-transport"	78
S0209	"Wheelchair van, mileage, per mile"	33
S0215	"Non-emergency transportation; mileage, per mile"	47
S0220	Medical conference by a physician with interdisciplinary team of health professionals or representatives of community agencies to coordinate activities of patient care (patient is present); approximately 30 minutes	214
S0221	Medical conference by a physician with interdisciplinary team of health professionals or representatives of community agencies to coordinate activities of patient care (patient is present); approximately 60 minutes	214
S0250	Comprehensive geriatric assessment and treatment planning performed by assessment team	86
S0255	"Hospice referral visit (advising patient and family of care options) performed by nurse, social worker, or other designated staff"	129
S0257	"Counseling and discussion regarding advance directives or end of life care planning and decisions, with patient and/or surrogate (list separately in addition to code for appropriate evaluation and management service)"	216
S0260	History and physical (outpatient or office) related to surgical procedure (list separately in addition to code for appropriate evaluation and management service)	161
S0265	"Genetic counseling, under physician supervision, each 15 minutes"	64
S0270	"Physician management of patient home care, standard monthly case rate (per 30 days)"	83
S0271	"Physician management of patient home care, hospice monthly case rate (per 30 days)"	82
S0272	"Physician management of patient home care, episodic care monthly case rate (per 30 days)"	88
S0273	"Physician visit at member's home, outside of a capitation arrangement"	69
S0274	"Nurse practitioner visit at member's home, outside of a capitation arrangement"	78
S0280	"Medical home program, comprehensive care coordination and planning, initial plan"	80
S0281	"Medical home program, comprehensive care coordination and planning, maintenance of plan"	87
S0302	Completed early periodic screening diagnosis and treatment (epsdt) service (list in addition to code for appropriate evaluation and management service)	151
S0310	Hospitalist services (list separately in addition to code for appropriate evaluation and management service)	108
S0315	Disease management program; initial assessment and initiation of the program	76
S0316	"Disease management program, follow-up/reassessment"	50
S0317	Disease management program; per diem	36
S0320	Telephone calls by a registered nurse to a disease management program member for monitoring purposes; per month	111
S0340	"Lifestyle modification program for management of coronary artery disease, including all supportive services; first quarter / stage"	130
S0341	"Lifestyle modification program for management of coronary artery disease, including all supportive services; second or third quarter / stage"	140
S0342	"Lifestyle modification program for management of coronary artery disease, including all supportive services; fourth quarter / stage"	131
S0353	"Treatment planning and care coordination management for cancer, initial treatment"	81
S0354	"Treatment planning and care coordination management for cancer, established patient with a change of regimen"	108
S0390	"Routine foot care; removal and/or trimming of corns, calluses and/or nails and preventive maintenance in specific medical conditions (e.g. diabetes), per visit"	159
S0395	Impression casting of a foot performed by a practitioner other than the manufacturer of the orthotic	100
S0400	Global fee for extracorporeal shock wave lithotripsy treatment of kidney stone(s)	81
S0500	"Disposable contact lens, per lens"	33
S0504	"Single vision prescription lens (safety, athletic, or sunglass), per lens"	73
S0506	"Bifocal vision prescription lens (safety, athletic, or sunglass), per lens"	74
S0508	"Trifocal vision prescription lens (safety, athletic, or sunglass), per lens"	75
S0510	"Non-prescription lens (safety, athletic, or sunglass),  per lens"	64
S0512	"Daily wear specialty contact lens, per lens"	43
S0514	"Color contact lens, per lens"	28
S0515	"Scleral lens, liquid bandage device, per lens"	45
S0516	Safety eyeglass frames	22
S0518	Sunglasses frames	17
S0580	Polycarbonate lens (list this code in addition to the basic code for the lens)	78
S0581	Nonstandard lens (list this code in addition to the basic code for the lens)	76
S0590	"Integral lens service, miscellaneous services reported separately"	65
S0592	Comprehensive contact lens evaluation	37
S0595	Dispensing new spectacle lenses for patient supplied frame	58
S0596	Phakic intraocular lens for correction of refractive error	58
S0601	Screening proctoscopy	21
S0610	"Annual gynecological examination, new patient"	45
S0612	"Annual gynecological examination, established patient"	53
S0613	Annual gynecological examination; clinical breast examination without pelvic evaluation	87
S0618	Audiometry for hearing aid evaluation to determine the level and degree of hearing loss	87
S0620	Routine ophthalmological examination including refraction; new patient	70
S0621	Routine ophthalmological examination including refraction; established patient	78
S0622	"Physical exam for college, new or established patient (list separately in addition to appropriate evaluation and management code)"	129
S0625	"Retinal telescreening by digital imaging of multiple different fundus areas to screen for vision-threatening conditions, including imaging, interpretation and report"	165
S0630	Removal of sutures; by a physician other than the physician who originally closed the wound	91
S0800	Laser in situ keratomileusis (lasik)	36
S0810	Photorefractive keratectomy (prk)	33
S0812	Phototherapeutic keratectomy (ptk)	34
S1001	"Deluxe item, patient aware (list in addition to code for basic item)"	68
S1002	Customized item (list in addition to code for basic item)	57
S1015	Iv tubing extension set	23
S1016	"Non-pvc (polyvinyl chloride) intravenous administration set, for use with drugs that are not stable in pvc e.g. paclitaxel"	122
S1030	"Continuous noninvasive glucose monitoring device, purchase (for physician interpretation of data, use cpt code)"	111
S1031	"Continuous noninvasive glucose monitoring device, rental, including sensor, sensor replacement, and download to monitor (for physician interpretation of data, use cpt code)"	172
S1040	"Cranial remolding orthosis, pediatric, rigid, with soft interface material, custom fabricated, includes fitting and adjustment(s)"	129
S1090	"Mometasone furoate sinus implant, 370 micrograms"	48
S2053	Transplantation of small intestine and liver allografts	55
S2054	Transplantation of multivisceral organs	39
S2055	"Harvesting of donor multivisceral organs, with preparation and maintenance of allografts; from cadaver donor"	108
S2060	Lobar lung transplantation	26
S2061	"Donor lobectomy (lung) for transplantation, living donor"	56
S2065	Simultaneous pancreas kidney transplantation	44
S2066	"Breast reconstruction with gluteal artery perforator (gap) flap, including harvesting of the flap, microvascular transfer, closure of donor site and shaping the flap into a breast, unilateral"	191
S2067	"Breast reconstruction of a single breast with ""stacked"" deep inferior epigastric perforator (diep) flap(s) and/or gluteal artery perforator (gap) flap(s), including harvesting of the flap(s), microvascular transfer, closure of donor site(s) and shaping the flap into a breast, unilateral"	287
S2068	"Breast reconstruction with deep inferior epigastric perforator (diep) flap or superficial inferior epigastric artery (siea) flap, including harvesting of the flap, microvascular transfer, closure of donor site and shaping the flap into a breast, unilateral"	256
S2070	"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with endoscopic laser treatment of ureteral calculi (includes ureteral catheterization)"	143
S2079	Laparoscopic esophagomyotomy (heller type)	42
S2080	Laser-assisted uvulopalatoplasty (laup)	39
S2083	Adjustment of gastric band diameter via subcutaneous port by injection or aspiration of saline	94
S2095	"Transcatheter occlusion or embolization for tumor destruction, percutaneous, any method, using yttrium-90 microspheres"	118
S2102	Islet cell tissue transplant from pancreas; allogeneic	54
S2103	Adrenal tissue transplant to brain	34
S2107	Adoptive immunotherapy i.e. development of specific anti-tumor reactivity (e.g. tumor-infiltrating lymphocyte therapy) per course of treatment	142
S2112	"Arthroscopy, knee, surgical for harvesting of cartilage (chondrocyte cells)"	75
S2115	"Osteotomy, periacetabular, with internal fixation"	49
S2117	"Arthroereisis, subtalar"	23
S2118	"Metal-on-metal total hip resurfacing, including acetabular and femoral components"	81
S2120	Low density lipoprotein (ldl) apheresis using heparin-induced extracorporeal ldl precipitation	94
S2140	"Cord blood harvesting for transplantation, allogeneic"	53
S2142	"Cord blood-derived stem-cell transplantation, allogeneic"	56
S2150	"Bone marrow or blood-derived stem cells (peripheral or umbilical), allogeneic or autologous, harvesting, transplantation, and related complications; including: pheresis and cell preparation/storage; marrow ablative therapy; drugs, supplies, hospitalization with outpatient follow-up; medical/surgical, diagnostic, emergency, and rehabilitative services; and the number of days of pre-and post-transplant care in the global definition"	433
S2152	"Solid organ(s), complete or segmental, single organ or combination of organs; deceased or living donor (s), procurement, transplantation, and related complications; including: drugs; supplies; hospitalization with outpatient follow-up; medical/surgical, diagnostic, emergency, and rehabilitative services, and the number of days of pre- and post-transplant care in the global definition"	386
S2202	Echosclerotherapy	17
S2205	"Minimally invasive direct coronary artery bypass surgery involving mini-thoracotomy or mini-sternotomy surgery, performed under direct vision; using arterial graft(s), single coronary arterial graft"	198
S2206	"Minimally invasive direct coronary artery bypass surgery involving mini-thoracotomy or mini-sternotomy surgery, performed under direct vision; using arterial graft(s), two coronary arterial grafts"	196
S2207	"Minimally invasive direct coronary artery bypass surgery involving mini-thoracotomy or mini-sternotomy surgery, performed under direct vision; using venous graft only, single coronary venous graft"	196
S2208	"Minimally invasive direct coronary artery bypass surgery involving mini-thoracotomy or mini-sternotomy surgery, performed under direct vision; using single arterial and venous graft(s), single venous graft"	205
S2209	"Minimally invasive direct coronary artery bypass surgery involving mini-thoracotomy or mini-sternotomy surgery, performed under direct vision; using two arterial grafts and single venous graft"	192
S2225	"Myringotomy, laser-assisted"	27
S2230	Implantation of magnetic component of semi-implantable hearing device on ossicles in middle ear	95
S2235	Implantation of auditory brain stem implant	43
S2260	"Induced abortion, 17 to 24 weeks"	32
S2265	"Induced abortion, 25 to 28 weeks"	32
S2266	"Induced abortion, 29 to 31 weeks"	32
S2267	"Induced abortion, 32 weeks or greater"	37
S2270	Insertion of vaginal cylinder for application of radiation source or clinical brachytherapy (report separately in addition to radiation source delivery)	152
S2300	"Arthroscopy, shoulder, surgical; with thermally-induced capsulorrhaphy"	70
S2325	Hip core decompression	22
S2340	Chemodenervation of abductor muscle(s) of vocal cord	52
S2341	Chemodenervation of adductor muscle(s) of vocal cord	52
S2342	"Nasal endoscopy for post-operative debridement following functional endoscopic sinus surgery, nasal and/or sinus cavity(s), unilateral or bilateral"	147
S2344	"Nasal/sinus endoscopy, surgical; with enlargement of sinus ostium opening using inflatable device (i.e., balloon sinuplasty)"	124
S2348	"Decompression procedure, percutaneous, of nucleus pulposus of intervertebral disc, using radiofrequency energy, single or multiple levels, lumbar"	145
S2350	"Diskectomy, anterior, with decompression of spinal cord and/or nerve root(s), including osteophytectomy; lumbar, single interspace"	130
S2351	"Diskectomy, anterior, with decompression of spinal cord and/or nerve root(s), including osteophytectomy; lumbar, each additional interspace (list separately in addition to code for primary procedure)"	199
S2360	"Percutaneous vertebroplasty, one vertebral body, unilateral or bilateral injection; cervical"	92
S2361	Each additional cervical vertebral body (list separately in addition to code for primary procedure)	99
S2400	"Repair, congenital diaphragmatic hernia in the fetus using temporary tracheal occlusion, procedure performed in utero"	117
S2401	"Repair, urinary tract obstruction in the fetus, procedure performed in utero"	76
S2402	"Repair, congenital cystic adenomatoid malformation in the fetus, procedure performed in utero"	93
S2403	"Repair, extralobar pulmonary sequestration in the fetus, procedure performed in utero"	85
S2404	"Repair, myelomeningocele in the fetus, procedure performed in utero"	67
S2405	"Repair of sacrococcygeal teratoma in the fetus, procedure performed in utero"	76
S2409	"Repair, congenital malformation of fetus, procedure performed in utero, not otherwise classified"	96
S2411	Fetoscopic laser therapy for treatment of twin-to-twin transfusion syndrome	75
S2900	Surgical techniques requiring use of robotic surgical system (list separately in addition to code for primary procedure)	120
S3000	"Diabetic indicator; retinal eye exam, dilated, bilateral"	56
S3005	"Performance measurement, evaluation of patient self assessment, depression"	74
S3600	Stat laboratory request (situations other than s3601)	53
S3601	Emergency stat laboratory charge for patient who is homebound or residing  in a nursing facility	96
