Code	Description
H05BA	Calcitonin preparations
H05BA01	calcitonin (salmon synthetic)
H05BA02	calcitonin (pork natural)
H05BA03	calcitonin (human synthetic)
H05BA04	elcatonin
H05BX	Other anti-parathyroid agents
H05BX01	cinacalcet
H05BX02	paricalcitol
H05BX03	doxercalciferol
J	ANTIINFECTIVES FOR SYSTEMIC USE
J01	ANTIBACTERIALS FOR SYSTEMIC USE
J01A	TETRACYCLINES
J01AA	Tetracyclines
J01AA01	demeclocycline
J01AA02	doxycycline
J01AA03	chlortetracycline
J01AA04	lymecycline
J01AA05	metacycline
J01AA06	oxytetracycline
J01AA07	tetracycline
J01AA08	minocycline
J01AA09	rolitetracycline
J01AA10	penimepicycline
J01AA11	clomocycline
J01AA12	tigecycline
J01AA20	combinations of tetracyclines
J01AA56	oxytetracycline, combinations
J01B	AMPHENICOLS
J01BA	Amphenicols
J01BA01	chloramphenicol
J01BA02	thiamphenicol
J01BA52	thiamphenicol, combinations
J01C	BETA-LACTAM ANTIBACTERIALS, PENICILLINS
J01CA	Penicillins with extended spectrum
J01CA01	ampicillin
J01CA02	pivampicillin
J01CA03	carbenicillin
J01CA04	amoxicillin
J01CA05	carindacillin
J01CA06	bacampicillin
J01CA07	epicillin
J01CA08	pivmecillinam
J01CA09	azlocillin
J01CA10	mezlocillin
J01CA11	mecillinam
J01CA12	piperacillin
J01CA13	ticarcillin
J01CA14	metampicillin
J01CA15	talampicillin
J01CA16	sulbenicillin
J01CA17	temocillin
J01CA18	hetacillin
J01CA19	aspoxicillin
J01CA20	combinations
J01CA51	ampicillin, combinations
J01CE	Beta-lactamase sensitive penicillins
J01CE01	benzylpenicillin
J01CE02	phenoxymethylpenicillin
J01CE03	propicillin
J01CE04	azidocillin
J01CE05	pheneticillin
J01CE06	penamecillin
J01CE07	clometocillin
J01CE08	benzathine benzylpenicillin
J01CE09	procaine benzylpenicillin
J01CE10	benzathine phenoxymethylpenicillin
J01CE30	combinations
J01CF	Beta-lactamase resistant penicillins
J01CF01	dicloxacillin
J01CF02	cloxacillin
J01CF03	meticillin
J01CF04	oxacillin
J01CF05	flucloxacillin
J01CF06	nafcillin
J01CG	Beta-lactamase inhibitors
J01CG01	sulbactam
J01CG02	tazobactam
J01CR	Combinations of penicillins, incl. beta-lactamase inhibitors
J01CR01	ampicillin and enzyme inhibitor
J01CR02	amoxicillin and enzyme inhibitor
J01CR03	ticarcillin and enzyme inhibitor
J01CR04	sultamicillin
J01CR05	piperacillin and enzyme inhibitor
J01CR50	combinations of penicillins
J01D	OTHER BETA-LACTAM ANTIBACTERIALS
J01DB	First-generation cephalosporins
J01DB01	cefalexin
J01DB02	cefaloridine
J01DB03	cefalotin
J01DB04	cefazolin
J01DB05	cefadroxil
J01DB06	cefazedone
J01DB07	cefatrizine
J01DB08	cefapirin
J01DB09	cefradine
J01DB10	cefacetrile
J01DB11	cefroxadine
J01DB12	ceftezole
J01DC	Second-generation cephalosporins
J01DC01	cefoxitin
J01DC02	cefuroxime
J01DC03	cefamandole
J01DC04	cefaclor
J01DC05	cefotetan
J01DC06	cefonicid
J01DC07	cefotiam
J01DC08	loracarbef
J01DC09	cefmetazole
J01DC10	cefprozil
J01DC11	ceforanide
J01DC12	cefminox
J01DC13	cefbuperazone
J01DC14	flomoxef
J01DD	Third-generation cephalosporins
J01DD01	cefotaxime
J01DD02	ceftazidime
J01DD03	cefsulodin
J01DD04	ceftriaxone
J01DD05	cefmenoxime
J01DD06	latamoxef
J01DD07	ceftizoxime
J01DD08	cefixime
J01DD09	cefodizime
J01DD10	cefetamet
J01DD11	cefpiramide
J01DD12	cefoperazone
J01DD13	cefpodoxime
J01DD14	ceftibuten
J01DD15	cefdinir
J01DD16	cefditoren
J01DD17	cefcapene
J01DD54	ceftriaxone, combinations
J01DD62	cefoperazone, combinations
J01DE	Fourth-generation cephalosporins
J01DE01	cefepime
J01DE02	cefpirome
J01DE03	cefozopran
J01DF	Monobactams
J01DF01	aztreonam
J01DF02	carumonam
J01DH	Carbapenems
J01DH02	meropenem
J01DH03	ertapenem
J01DH04	doripenem
J01DH05	biapenem
J01DH51	imipenem and enzyme inhibitor
J01DH55	panipenem and betamipron
J01DI	Other cephalosporins and penems
J01DI01	ceftobiprole medocaril
J01DI02	ceftaroline fosamil
J01DI03	faropenem
J01E	SULFONAMIDES AND TRIMETHOPRIM
J01EA	Trimethoprim and derivatives
J01EA01	trimethoprim
J01EA02	brodimoprim
J01EA03	iclaprim
J01EB	Short-acting sulfonamides
J01EB01	sulfaisodimidine
J01EB02	sulfamethizole
J01EB03	sulfadimidine
J01EB04	sulfapyridine
J01EB05	sulfafurazole
J01EB06	sulfanilamide
J01EB07	sulfathiazole
J01EB08	sulfathiourea
J01EB20	combinations
J01EC	Intermediate-acting sulfonamides
J01EC01	sulfamethoxazole
J01EC02	sulfadiazine
J01EC03	sulfamoxole
J01EC20	combinations
J01ED	Long-acting sulfonamides
J01ED01	sulfadimethoxine
J01ED02	sulfalene
J01ED03	sulfametomidine
J01ED04	sulfametoxydiazine
J01ED05	sulfamethoxypyridazine
J01ED06	sulfaperin
J01ED07	sulfamerazine
J01ED08	sulfaphenazole
J01ED09	sulfamazone
J01ED20	combinations
J01EE	Combinations of sulfonamides and trimethoprim, incl. derivatives
J01EE01	sulfamethoxazole and trimethoprim
J01EE02	sulfadiazine and trimethoprim
J01EE03	sulfametrole and trimethoprim
J01EE04	sulfamoxole and trimethoprim
J01EE05	sulfadimidine and trimethoprim
J01EE06	sulfadiazine and tetroxoprim
J01EE07	sulfamerazine and trimethoprim
J01F	MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS
J01FA	Macrolides
J01FA01	erythromycin
J01FA02	spiramycin
J01FA03	midecamycin
J01FA05	oleandomycin
J01FA06	roxithromycin
J01FA07	josamycin
J01FA08	troleandomycin
J01FA09	clarithromycin
J01FA10	azithromycin
J01FA11	miocamycin
J01FA12	rokitamycin
J01FA13	dirithromycin
J01FA14	flurithromycin
J01FA15	telithromycin
J01FF	Lincosamides
J01FF01	clindamycin
J01FF02	lincomycin
J01FG	Streptogramins
J01FG01	pristinamycin
J01FG02	quinupristin/dalfopristin
J01G	AMINOGLYCOSIDE ANTIBACTERIALS
J01GA	Streptomycins
J01GA01	streptomycin
J01GA02	streptoduocin
J01GB	Other aminoglycosides
J01GB01	tobramycin
J01GB03	gentamicin
J01GB04	kanamycin
J01GB05	neomycin
J01GB06	amikacin
J01GB07	netilmicin
J01GB08	sisomicin
J01GB09	dibekacin
J01GB10	ribostamycin
J01GB11	isepamicin
J01GB12	arbekacin
J01GB13	bekanamycin
J01M	QUINOLONE ANTIBACTERIALS
J01MA	Fluoroquinolones
J01MA01	ofloxacin
J01MA02	ciprofloxacin
J01MA03	pefloxacin
J01MA04	enoxacin
J01MA05	temafloxacin
J01MA06	norfloxacin
J01MA07	lomefloxacin
J01MA08	fleroxacin
J01MA09	sparfloxacin
J01MA10	rufloxacin
J01MA11	grepafloxacin
J01MA12	levofloxacin
J01MA13	trovafloxacin
J01MA14	moxifloxacin
J01MA15	gemifloxacin
J01MA16	gatifloxacin
J01MA17	prulifloxacin
J01MA18	pazufloxacin
J01MA19	garenoxacin
J01MA21	sitafloxacin
J01MB	Other quinolones
J01MB01	rosoxacin
J01MB02	nalidixic acid
J01MB03	piromidic acid
J01MB04	pipemidic acid
J01MB05	oxolinic acid
J01MB06	cinoxacin
J01MB07	flumequine
J01R	COMBINATIONS OF ANTIBACTERIALS
J01RA	Combinations of antibacterials
J01RA01	penicillins, combinations with other antibacterials
J01RA02	sulfonamides, combinations with other antibacterials (excl. trimethoprim)
J01RA03	cefuroxime, combinations with other antibacterials
J01RA04	spiramycin, combinations with other antibacterials
J01RA05	levofloxacin and ornidazole
J01X	OTHER ANTIBACTERIALS
J01XA	Glycopeptide antibacterials
J01XA01	vancomycin
J01XA02	teicoplanin
J01XA03	telavancin
J01XA04	dalbavancin
J01XA05	oritavancin
J01XB	Polymyxins
J01XB01	colistin
J01XB02	polymyxin B
J01XC	Steroid antibacterials
J01XC01	fusidic acid
J01XD	Imidazole derivatives
J01XD01	metronidazole
J01XD02	tinidazole
J01XD03	ornidazole
J01XE	Nitrofuran derivatives
J01XE01	nitrofurantoin
J01XE02	nifurtoinol
J01XX	Other antibacterials
J01XX01	fosfomycin
J01XX02	xibornol
J01XX03	clofoctol
J01XX04	spectinomycin
J01XX05	methenamine
J01XX06	mandelic acid
J01XX07	nitroxoline
J01XX08	linezolid
J01XX09	daptomycin
J01XX10	bacitracin
J02	ANTIMYCOTICS FOR SYSTEMIC USE
J02A	ANTIMYCOTICS FOR SYSTEMIC USE
J02AA	Antibiotics
J02AA01	amphotericin B
J02AA02	hachimycin
J02AB	Imidazole derivatives
J02AB01	miconazole
J02AB02	ketoconazole
J02AC	Triazole derivatives
J02AC01	fluconazole
J02AC02	itraconazole
J02AC03	voriconazole
J02AC04	posaconazole
J02AX	Other antimycotics for systemic use
J02AX01	flucytosine
J02AX04	caspofungin
J02AX05	micafungin
J02AX06	anidulafungin
J04	ANTIMYCOBACTERIALS
J04A	DRUGS FOR TREATMENT OF TUBERCULOSIS
J04AA	Aminosalicylic acid and derivatives
J04AA01	4-aminosalicylic acid
J04AA02	sodium aminosalicylate
J04AA03	calcium aminosalicylate
J04AB	Antibiotics
J04AB01	cycloserine
J04AB02	rifampicin
J04AB03	rifamycin
J04AB04	rifabutin
J04AB05	rifapentine
J04AB30	capreomycin
J04AC	Hydrazides
J04AC01	isoniazid
J04AC51	isoniazid, combinations
J04AD	Thiocarbamide derivatives
J04AD01	protionamide
J04AD02	tiocarlide
J04AD03	ethionamide
J04AK	Other drugs for treatment of tuberculosis
J04AK01	pyrazinamide
J04AK02	ethambutol
J04AK03	terizidone
J04AK04	morinamide
J04AK05	bedaquiline
J04AK06	delamanid
J04AM	Combinations of drugs for treatment of tuberculosis
J04AM01	streptomycin and isoniazid
J04AM02	rifampicin and isoniazid
J04AM03	ethambutol and isoniazid
J04AM04	thioacetazone and isoniazid
J04AM05	rifampicin, pyrazinamide and isoniazid
J04AM06	rifampicin, pyrazinamide, ethambutol and isoniazid
J04B	DRUGS FOR TREATMENT OF LEPRA
J04BA	Drugs for treatment of lepra
J04BA01	clofazimine
J04BA02	dapsone
J04BA03	aldesulfone sodium
J05	ANTIVIRALS FOR SYSTEMIC USE
J05A	DIRECT ACTING ANTIVIRALS
J05AA	Thiosemicarbazones
J05AA01	metisazone
J05AB	Nucleosides and nucleotides excl. reverse transcriptase inhibitors
J05AB01	aciclovir
J05AB02	idoxuridine
J05AB03	vidarabine
J05AB04	ribavirin
J05AB06	ganciclovir
J05AB09	famciclovir
J05AB11	valaciclovir
J05AB12	cidofovir
J05AB13	penciclovir
J05AB14	valganciclovir
J05AB15	brivudine
J05AC	Cyclic amines
J05AC02	rimantadine
J05AC03	tromantadine
J05AD	Phosphonic acid derivatives
J05AD01	foscarnet
J05AD02	fosfonet
J05AE	Protease inhibitors
J05AE01	saquinavir
J05AE02	indinavir
J05AE03	ritonavir
J05AE04	nelfinavir
J05AE05	amprenavir
J05AE07	fosamprenavir
J05AE08	atazanavir
J05AE09	tipranavir
J05AE10	darunavir
J05AE11	telaprevir
J05AE12	boceprevir
J05AF	Nucleoside and nucleotide reverse transcriptase inhibitors
J05AF01	zidovudine
J05AF02	didanosine
J05AF03	zalcitabine
J05AF04	stavudine
J05AF05	lamivudine
J05AF06	abacavir
J05AF07	tenofovir disoproxil
J05AF08	adefovir dipivoxil
J05AF09	emtricitabine
J05AF10	entecavir
J05AF11	telbivudine
J05AF12	clevudine
J05AG	Non-nucleoside reverse transcriptase inhibitors
J05AG01	nevirapine
J05AG02	delavirdine
J05AG03	efavirenz
J05AG04	etravirine
J05AG05	rilpivirine
J05AH	Neuraminidase inhibitors
J05AH01	zanamivir
J05AH02	oseltamivir
J05AR	Antivirals for treatment of HIV infections, combinations
J05AR01	zidovudine and lamivudine
J05AR02	lamivudine and abacavir
J05AR03	tenofovir disoproxil and emtricitabine
J05AR04	zidovudine, lamivudine and abacavir
J05AR05	zidovudine, lamivudine and nevirapine
J05AR06	emtricitabine, tenofovir disoproxil and efavirenz
J05AR07	stavudine, lamivudine and nevirapine
J05AR08	emtricitabine, tenofovir disoproxil and rilpivirine
J05AR09	emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat
J05AR10	lopinavir and ritonavir
J05AR11	lamivudine, tenofovir disoproxil and efavirenz
J05AX	Other antivirals
J05AX01	moroxydine
J05AX02	lysozyme
J05AX05	inosine pranobex
J05AX06	pleconaril
J05AX07	enfuvirtide
J05AX08	raltegravir
J05AX09	maraviroc
J05AX10	maribavir
J05AX11	elvitegravir
J05AX12	dolutegravir
J06	IMMUNE SERA AND IMMUNOGLOBULINS
J06A	IMMUNE SERA
J06AA	Immune sera
J06AA01	diphtheria antitoxin
J06AA02	tetanus antitoxin
J06AA03	snake venom antiserum
J06AA04	botulinum antitoxin
J06AA05	gas-gangrene sera
J06AA06	rabies serum
J06B	IMMUNOGLOBULINS
J06BA	Immunoglobulins, normal human
J06BA01	immunoglobulins, normal human, for extravascular adm.
J06BA02	immunoglobulins, normal human, for intravascular adm.
J06BB	Specific immunoglobulins
J06BB01	anti-D (rh) immunoglobulin
J06BB02	tetanus immunoglobulin
J06BB03	varicella/zoster immunoglobulin
J06BB04	hepatitis B immunoglobulin
J06BB05	rabies immunoglobulin
J06BB06	rubella immunoglobulin
J06BB07	vaccinia immunoglobulin
J06BB08	staphylococcus immunoglobulin
J06BB09	cytomegalovirus immunoglobulin
J06BB10	diphtheria immunoglobulin
J06BB11	hepatitis A immunoglobulin
J06BB12	encephalitis, tick borne immunoglobulin
J06BB13	pertussis immunoglobulin
J06BB14	measles immunoglobulin
J06BB15	mumps immunoglobulin
J06BB16	palivizumab
J06BB17	motavizumab
J06BB30	combinations
J06BC	Other immunoglobulins
J06BC01	nebacumab
J07	VACCINES
J07A	BACTERIAL VACCINES
J07AC	Anthrax vaccines
J07AC01	anthrax antigen
J07AD	Brucellosis vaccines
J07AD01	brucella antigen
J07AE	Cholera vaccines
J07AE01	cholera, inactivated, whole cell
J07AE02	cholera, live attenuated
J07AE51	cholera, combinations with typhoid vaccine, inactivated, whole cell
J07AF	Diphtheria vaccines
J07AF01	diphtheria toxoid
J07AG	Hemophilus influenzae B vaccines
J07AG01	hemophilus influenzae B, purified antigen conjugated
J07AG51	hemophilus influenzae B, combinations with toxoids
J07AG52	hemophilus influenzae B, combinations with pertussis and toxoids
J07AG53	hemophilus influenzae B, combinations with meningococcus C, conjugated
J07AH	Meningococcal vaccines
J07AH01	meningococcus A, purified polysaccharides antigen
J07AH02	other meningococcal monovalent purified polysaccharides antigen
J07AH03	meningococcus A,C, bivalent purified polysaccharides antigen
J07AH04	meningococcus A,C,Y,W-135, tetravalent purified polysaccharides antigen
J07AH05	other meningococcal polyvalent purified polysaccharides antigen
J07AH06	meningococcus B, outer membrane vesicle vaccine
J07AH07	meningococcus C, purified polysaccharides antigen conjugated
J07AH08	meningococcus A,C,Y,W-135, tetravalent purified polysaccharides antigen conjugated
J07AH09	meningococcus B, multicomponent vaccine
J07AH10	meningococcus A, purified polysaccharides antigen conjugated
J07AJ	Pertussis vaccines
J07AJ01	pertussis, inactivated, whole cell
J07AJ02	pertussis, purified antigen
J07AJ51	pertussis, inactivated, whole cell, combinations with toxoids
J07AJ52	pertussis, purified antigen, combinations with toxoids
J07AK	Plague vaccines
J07AK01	plague, inactivated, whole cell
J07AL	Pneumococcal vaccines
J07AL01	pneumococcus, purified polysaccharides antigen
J07AL02	pneumococcus, purified polysaccharides antigen conjugated
J07AL52	pneumococcus purified polysaccharides antigen and haemophilus influenzae, conjugated
J07AM	Tetanus vaccines
J07AM01	tetanus toxoid
J07AM51	tetanus toxoid, combinations with diphtheria toxoid
J07AM52	tetanus toxoid, combinations with tetanus immunoglobulin
J07AN	Tuberculosis vaccines
J07AN01	tuberculosis, live attenuated
J07AP	Typhoid vaccines
J07AP01	typhoid, oral, live attenuated
J07AP02	typhoid, inactivated, whole cell
J07AP03	typhoid, purified polysaccharide antigen
J07AP10	typhoid, combinations with paratyphi types
J07AR	Typhus (exanthematicus) vaccines
J07AR01	typhus exanthematicus, inactivated, whole cell
J07AX	Other bacterial vaccines
J07B	VIRAL VACCINES
J07BA	Encephalitis vaccines
J07BA01	encephalitis, tick borne, inactivated, whole virus
J07BA02	encephalitis, Japanese, inactivated, whole virus
J07BA03	encephalitis, Japanese, live attenuated
J07BB	Influenza vaccines
J07BB01	influenza, inactivated, whole virus
J07BB02	influenza, inactivated, split virus or surface antigen
J07BB03	influenza, live attenuated
J07BC	Hepatitis vaccines
J07BC01	hepatitis B, purified antigen
J07BC02	hepatitis A, inactivated, whole virus
J07BC20	combinations
J07BD	Measles vaccines
J07BD01	measles, live attenuated
J07BD51	measles, combinations with mumps, live attenuated
J07BD52	measles, combinations with mumps and rubella, live attenuated
J07BD53	measles, combinations with rubella, live attenuated
J07BD54	measles, combinations with mumps, rubella and varicella, live attenuated
J07BE	Mumps vaccines
J07BE01	mumps, live attenuated
J07BF	Poliomyelitis vaccines
J07BF01	poliomyelitis oral, monovalent, live attenuated
J07BF02	poliomyelitis oral, trivalent, live attenuated
J07BF03	poliomyelitis, trivalent, inactivated, whole virus
J07BF04	poliomyelitis oral, bivalent, live attenuated
J07BG	Rabies vaccines
J07BG01	rabies, inactivated, whole virus
J07BH	Rota virus diarrhea vaccines
J07BH01	rota virus, live attenuated
J07BH02	rota virus, pentavalent, live, reassorted
J07BJ	Rubella vaccines
J07BJ01	rubella, live attenuated
J07BJ51	rubella, combinations with mumps, live attenuated
J07BK	Varicella zoster vaccines
J07BK01	varicella, live attenuated
J07BK02	zoster, live attenuated
J07BL	Yellow fever vaccines
J07BL01	yellow fever, live attenuated
J07BM	Papillomavirus vaccines
J07BM01	papillomavirus (human types 6, 11, 16, 18)
J07BM02	papillomavirus (human types 16, 18)
J07BX	Other viral vaccines
J07C	BACTERIAL AND VIRAL VACCINES, COMBINED
J07CA	Bacterial and viral vaccines, combined
J07CA01	diphtheria-poliomyelitis-tetanus
J07CA02	diphtheria-pertussis-poliomyelitis-tetanus
J07CA03	diphtheria-rubella-tetanus
J07CA04	hemophilus influenzae B and poliomyelitis
J07CA05	diphtheria-hepatitis B-pertussis-tetanus
J07CA06	diphtheria-hemophilus influenzae B-pertussis-poliomyelitis-tetanus
J07CA07	diphtheria-hepatitis B-tetanus
J07CA08	hemophilus influenzae B and hepatitis B
J07CA09	diphtheria-hemophilus influenzae B-pertussis-poliomyelitis-tetanus-hepatitis B
J07CA10	typhoid-hepatitis A
J07CA11	diphtheria-hemophilus influenzae B-pertussis-tetanus-hepatitis B
J07CA12	diphtheria-pertussis-poliomyelitis-tetanus-hepatitis B
J07CA13	diphtheria-hemophilus influenzae B-pertussis-tetanus-hepatitis B-meningococcus A + C
J07X	OTHER VACCINES
L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01	ANTINEOPLASTIC AGENTS
L01A	ALKYLATING AGENTS
L01AA	Nitrogen mustard analogues
L01AA01	cyclophosphamide
L01AA02	chlorambucil
L01AA03	melphalan
L01AA05	chlormethine
L01AA06	ifosfamide
L01AA07	trofosfamide
L01AA08	prednimustine
L01AA09	bendamustine
L01AB	Alkyl sulfonates
L01AB01	busulfan
L01AB02	treosulfan
L01AB03	mannosulfan
L01AC	Ethylene imines
L01AC01	thiotepa
L01AC02	triaziquone
L01AC03	carboquone
L01AD	Nitrosoureas
L01AD01	carmustine
L01AD02	lomustine
L01AD03	semustine
L01AD04	streptozocin
L01AD05	fotemustine
L01AD06	nimustine
L01AD07	ranimustine
L01AG	Epoxides
L01AG01	etoglucid
L01AX	Other alkylating agents
L01AX01	mitobronitol
L01AX02	pipobroman
L01AX03	temozolomide
L01AX04	dacarbazine
L01B	ANTIMETABOLITES
L01BA	Folic acid analogues
L01BA01	methotrexate
L01BA03	raltitrexed
L01BA04	pemetrexed
L01BA05	pralatrexate
L01BB	Purine analogues
L01BB02	mercaptopurine
L01BB03	tioguanine
L01BB04	cladribine
L01BB05	fludarabine
L01BB06	clofarabine
L01BB07	nelarabine
L01BC	Pyrimidine analogues
L01BC01	cytarabine
L01BC02	fluorouracil
L01BC03	tegafur
L01BC04	carmofur
L01BC05	gemcitabine
L01BC06	capecitabine
L01BC07	azacitidine
L01BC08	decitabine
L01BC52	fluorouracil, combinations
L01BC53	tegafur, combinations
L01C	PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS
L01CA	Vinca alkaloids and analogues
L01CA01	vinblastine
L01CA02	vincristine
L01CA03	vindesine
L01CA04	vinorelbine
L01CA05	vinflunine
L01CA06	vintafolide
L01CB	Podophyllotoxin derivatives
L01CB01	etoposide
L01CB02	teniposide
L01CC	Colchicine derivatives
L01CC01	demecolcine
L01CD	Taxanes
L01CD01	paclitaxel
L01CD02	docetaxel
L01CD03	paclitaxel poliglumex
L01CD04	cabazitaxel
L01CX	Other plant alkaloids and natural products
L01CX01	trabectedin
L01D	CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
L01DA	Actinomycines
L01DA01	dactinomycin
L01DB	Anthracyclines and related substances
L01DB01	doxorubicin
L01DB02	daunorubicin
L01DB03	epirubicin
L01DB04	aclarubicin
L01DB05	zorubicin
L01DB06	idarubicin
L01DB07	mitoxantrone
L01DB08	pirarubicin
L01DB09	valrubicin
L01DB10	amrubicin
L01DB11	pixantrone
L01DC	Other cytotoxic antibiotics
L01DC01	bleomycin
L01DC02	plicamycin
L01DC03	mitomycin
L01DC04	ixabepilone
L01X	OTHER ANTINEOPLASTIC AGENTS
L01XA	Platinum compounds
L01XA01	cisplatin
L01XA02	carboplatin
L01XA03	oxaliplatin
L01XA04	satraplatin
L01XA05	polyplatillen
L01XB	Methylhydrazines
L01XB01	procarbazine
L01XC	Monoclonal antibodies
L01XC01	edrecolomab
L01XC02	rituximab
L01XC03	trastuzumab
L01XC04	alemtuzumab
L01XC05	gemtuzumab
L01XC06	cetuximab
L01XC07	bevacizumab
L01XC08	panitumumab
L01XC09	catumaxomab
L01XC10	ofatumumab
L01XC11	ipilimumab
L01XC12	brentuximab vedotin
L01XC13	pertuzumab
L01XC14	trastuzumab emtansine
L01XC15	obinutuzumab
L01XD	Sensitizers used in photodynamic/radiation therapy
L01XD01	porfimer sodium
L01XD03	methyl aminolevulinate
L01XD04	aminolevulinic acid
L01XD05	temoporfin
L01XD06	efaproxiral
L01XE	Protein kinase inhibitors
L01XE01	imatinib
L01XE02	gefitinib
L01XE03	erlotinib
L01XE04	sunitinib
L01XE05	sorafenib
L01XE06	dasatinib
L01XE07	lapatinib
L01XE08	nilotinib
L01XE09	temsirolimus
L01XE10	everolimus
L01XE11	pazopanib
L01XE12	vandetanib
L01XE13	afatinib
L01XE14	bosutinib
L01XE15	vemurafenib
L01XE16	crizotinib
L01XE17	axitinib
L01XE18	ruxolitinib
L01XE19	ridaforolimus
L01XE21	regorafenib
L01XE22	masitinib
L01XE23	dabrafenib
L01XE24	ponatinib
L01XE25	trametinib
L01XX	Other antineoplastic agents
L01XX01	amsacrine
L01XX02	asparaginase
L01XX03	altretamine
L01XX05	hydroxycarbamide
L01XX07	lonidamine
L01XX08	pentostatin
L01XX09	miltefosine
L01XX10	masoprocol
L01XX11	estramustine
L01XX14	tretinoin
L01XX16	mitoguazone
L01XX17	topotecan
L01XX18	tiazofurine
L01XX19	irinotecan
L01XX22	alitretinoin
L01XX23	mitotane
L01XX24	pegaspargase
L01XX25	bexarotene
L01XX27	arsenic trioxide
L01XX29	denileukin diftitox
L01XX32	bortezomib
L01XX33	celecoxib
L01XX35	anagrelide
L01XX36	oblimersen
L01XX37	sitimagene ceradenovec
L01XX38	vorinostat
L01XX39	romidepsin
L01XX40	omacetaxine mepesuccinate
L01XX41	eribulin
L01XX42	panobinostat
L01XX43	vismodegib
L01XX44	aflibercept
L01XX45	carfilzomib
L01XY	Combinations of antineoplastic agents
L02	ENDOCRINE THERAPY
L02A	HORMONES AND RELATED AGENTS
L02AA	Estrogens
L02AA01	diethylstilbestrol
L02AA02	polyestradiol phosphate
L02AA03	ethinylestradiol
L02AA04	fosfestrol
L02AB	Progestogens
L02AB01	megestrol
L02AB02	medroxyprogesterone
L02AB03	gestonorone
L02AE	Gonadotropin releasing hormone analogues
L02AE01	buserelin
L02AE02	leuprorelin
L02AE03	goserelin
L02AE04	triptorelin
L02AE05	histrelin
L02AX	Other hormones
L02B	HORMONE ANTAGONISTS AND RELATED AGENTS
L02BA	Anti-estrogens
L02BA01	tamoxifen
L02BA02	toremifene
L02BA03	fulvestrant
L02BB	Anti-androgens
L02BB01	flutamide
L02BB02	nilutamide
L02BB03	bicalutamide
L02BG	Aromatase inhibitors
L02BG01	aminoglutethimide
L02BG02	formestane
L02BG03	anastrozole
L02BG04	letrozole
L02BG05	vorozole
L02BG06	exemestane
L02BX	Other hormone antagonists and related agents
L02BX01	abarelix
L02BX02	degarelix
L02BX03	abiraterone
L03	IMMUNOSTIMULANTS
L03A	IMMUNOSTIMULANTS
L03AA	Colony stimulating factors
L03AA02	filgrastim
L03AA03	molgramostim
L03AA09	sargramostim
L03AA10	lenograstim
L03AA12	ancestim
L03AA13	pegfilgrastim
L03AA14	lipegfilgrastim
L03AB	Interferons
L03AB01	interferon alfa natural
L03AB02	interferon beta natural
L03AB03	interferon gamma
L03AB04	interferon alfa-2a
L03AB05	interferon alfa-2b
L03AB06	interferon alfa-n1
L03AB07	interferon beta-1a
L03AB08	interferon beta-1b
L03AB09	interferon alfacon-1
L03AB10	peginterferon alfa-2b
L03AB11	peginterferon alfa-2a
L03AB12	albinterferon alfa-2b
L03AB60	peginterferon alfa-2b, combinations
L03AB61	peginterferon alfa-2a, combinations
L03AC	Interleukins
L03AC01	aldesleukin
L03AC02	oprelvekin
L03AX	Other immunostimulants
L03AX01	lentinan
L03AX02	roquinimex
L03AX03	BCG vaccine
L03AX04	pegademase
L03AX05	pidotimod
L03AX07	poly I:C
L03AX08	poly ICLC
L03AX09	thymopentin
L03AX10	immunocyanin
L03AX11	tasonermin
L03AX12	melanoma vaccine
L03AX13	glatiramer acetate
L03AX14	histamine dihydrochloride
L03AX15	mifamurtide
L03AX16	plerixafor
L03AX17	sipuleucel-T
L03AX18	cridanimod
L04	IMMUNOSUPPRESSANTS
L04A	IMMUNOSUPPRESSANTS
L04AA	Selective immunosuppressants
L04AA02	muromonab-CD3
L04AA03	antilymphocyte immunoglobulin (horse)
L04AA04	antithymocyte immunoglobulin (rabbit)
L04AA06	mycophenolic acid
L04AA10	sirolimus
L04AA13	leflunomide
L04AA15	alefacept
L04AA18	everolimus
L04AA19	gusperimus
L04AA21	efalizumab
L04AA22	abetimus
L04AA23	natalizumab
L04AA24	abatacept
L04AA25	eculizumab
L04AA26	belimumab
L04AA27	fingolimod
L04AA28	belatacept
L04AA29	tofacitinib
L04AA31	teriflunomide
L04AA32	apremilast
L04AB	Tumor necrosis factor alpha (TNF-&alpha;) inhibitors
L04AB01	etanercept
L04AB02	infliximab
L04AB03	afelimomab
L04AB04	adalimumab
L04AB05	certolizumab pegol
L04AB06	golimumab
L04AC	Interleukin inhibitors
L04AC01	daclizumab
L04AC02	basiliximab
L04AC03	anakinra
L04AC04	rilonacept
L04AC05	ustekinumab
L04AC06	mepolizumab
L04AC07	tocilizumab
L04AC08	canakinumab
L04AC09	briakinumab
L04AC10	secukinumab
L04AD	Calcineurin inhibitors
L04AD01	ciclosporin
L04AD02	tacrolimus
L04AD03	voclosporin
L04AX	Other immunosuppressants
L04AX01	azathioprine
L04AX02	thalidomide
L04AX03	methotrexate
L04AX04	lenalidomide
